Date,Price
2023-01-03,118.75
2023-01-04,121.21
2023-01-05,120.62
2023-01-06,124.53
2023-01-09,124.85
2023-01-10,125.84
2023-01-11,127.94
2023-01-12,127.89
2023-01-13,128.85
2023-01-17,128.14
2023-01-18,126.43
2023-01-19,124.53
2023-01-20,126.62
2023-01-23,128.29
2023-01-24,126.83
2023-01-25,126.82
2023-01-26,127.53
2023-01-27,127.53
2023-01-30,126.37
2023-01-31,127.33
2023-02-01,129.5
2023-02-02,129.06
2023-02-03,127.61
2023-02-06,125.73
2023-02-07,125.33
2023-02-08,122.91
2023-02-09,122.18
2023-02-10,122.23
2023-02-13,125.15
2023-02-14,126.2
2023-02-15,127.48
2023-02-16,124.38
2023-02-17,124.84
2023-02-21,121.1
2023-02-22,119.9
2023-02-23,119.96
2023-02-24,118.04
2023-02-27,118.53
2023-02-28,118.79
2023-03-01,118.58
2023-03-02,119.58
2023-03-03,120.94
2023-03-06,120.17
2023-03-07,119.59
2023-03-08,119.86
2023-03-09,117.87
2023-03-10,117.49
2023-03-13,116.86
2023-03-14,119
2023-03-15,118.17
2023-03-16,120.65
2023-03-17,120.39
2023-03-20,121.2
2023-03-21,125.61
2023-03-22,119.5
2023-03-23,120.97
2023-03-24,120.71
2023-03-27,117.81
2023-03-28,117.87
2023-03-29,120.49
2023-03-30,120.1
2023-03-31,122.64
2023-04-03,121.67
2023-04-04,123.69
2023-04-05,120.9
2023-04-06,120.22
2023-04-10,121.91
2023-04-11,123.3
2023-04-12,123.66
2023-04-13,126.43
2023-04-14,125.95
2023-04-17,126.19
2023-04-18,126.21
2023-04-19,125.67
2023-04-20,124.45
2023-04-21,125.53
2023-04-24,127.09
2023-04-25,124.66
2023-04-26,123.84
2023-04-27,125.7
2023-04-28,126.72
2023-05-01,127.92
2023-05-02,127.26
2023-05-03,126.74
2023-05-04,123.67
2023-05-05,126.59
2023-05-08,126.88
2023-05-09,125.1
2023-05-10,123.51
2023-05-11,122.22
2023-05-12,120.21
2023-05-15,119.83
2023-05-16,116.48
2023-05-17,116.98
2023-05-18,118.87
2023-05-19,114.76
2023-05-22,110.18
2023-05-23,108.78
2023-05-24,108.29
2023-05-25,107.48
