Date,Price
2023-10-01,144.40
2023-10-02,116.05
2023-10-03,125.34
2023-10-04,154.12
2023-10-05,175.15
2023-10-06,165.77
2023-10-07,178.17
2023-10-08,113.66
2023-10-09,164.99
2023-10-10,179.14
2023-10-11,151.82
2023-10-12,140.21
2023-10-13,103.37
2023-10-14,153.03
2023-10-15,186.47
2023-10-16,118.66
2023-10-17,169.01
2023-10-18,124.54
2023-10-19,182.49
2023-10-20,124.78
2023-10-21,124.49
2023-10-22,112.28
2023-10-23,174.41
2023-10-24,180.40
2023-10-25,171.22
2023-10-26,157.79
2023-10-27,148.36
2023-10-28,158.40
2023-10-29,127.80
2023-10-30,136.35
2023-10-31,193.56
