Date,Price
2023-01-03,143.6
2023-01-04,143.76
2023-01-05,143.27
2023-01-06,146.78
2023-01-09,144.95
2023-01-10,144.86
2023-01-11,146.13
2023-01-12,144.81
2023-01-13,145.29
2023-01-17,144.41
2023-01-18,140.84
2023-01-19,138.83
2023-01-20,140.54
2023-01-23,142.64
2023-01-24,143.02
2023-01-25,142.34
2023-01-26,142.21
2023-01-27,143.3
2023-01-30,142.15
2023-01-31,143.87
2023-02-01,144.67
2023-02-02,143.62
2023-02-03,141.71
2023-02-06,140.68
2023-02-07,140.98
2023-02-08,140.22
2023-02-09,141.52
2023-02-10,143.72
2023-02-13,145.91
2023-02-14,145.49
2023-02-15,146.57
2023-02-16,144.27
2023-02-17,146.44
2023-02-21,147.33
2023-02-22,144.24
2023-02-23,142.09
2023-02-24,142.47
2023-02-27,141.44
2023-02-28,142.13
2023-03-01,140.15
2023-03-02,140.5
2023-03-03,140.67
2023-03-06,140.65
2023-03-07,139.25
2023-03-08,138.1
2023-03-09,137.17
2023-03-10,136.97
2023-03-13,137.37
2023-03-14,138.1
2023-03-15,139.64
2023-03-16,138.28
2023-03-17,139.4
2023-03-20,140.9
2023-03-21,140.42
2023-03-22,139.52
2023-03-23,140.65
2023-03-24,141.8
2023-03-27,144.17
2023-03-28,143.61
2023-03-29,144.23
2023-03-30,145.67
2023-03-31,147.45
2023-04-03,148.69
2023-04-04,147.23
2023-04-05,149.67
2023-04-06,150.8
2023-04-10,150.51
2023-04-11,150.07
2023-04-12,149.34
2023-04-13,149.49
2023-04-14,148.48
2023-04-17,149.52
2023-04-18,149.85
2023-04-19,150.01
2023-04-20,150.97
2023-04-21,151.73
2023-04-24,152.76
2023-04-25,151.57
2023-04-26,150.91
2023-04-27,151.38
2023-04-28,150.97
2023-05-01,151.59
2023-05-02,151.18
2023-05-03,150.62
2023-05-04,150.47
2023-05-05,151.77
2023-05-08,152.72
2023-05-09,152.98
2023-05-10,152.55
2023-05-11,153.12
2023-05-12,153.07
2023-05-15,151.88
2023-05-16,149.78
2023-05-17,149.53
2023-05-18,151.47
2023-05-19,149.91
2023-05-22,148.59
2023-05-23,148.31
2023-05-24,147.63
2023-05-25,146.16
