Date,Volume
2023-01-03,112117471
2023-01-04,89113633
2023-01-05,80962708
2023-01-06,87754715
2023-01-09,70790813
2023-01-10,63896155
2023-01-11,69458949
2023-01-12,71379648
2023-01-13,57809719
2023-01-17,63646627
2023-01-18,69672800
2023-01-19,58280413
2023-01-20,80223626
2023-01-23,81760313
2023-01-24,66435142
2023-01-25,65799349
2023-01-26,54105068
2023-01-27,70555843
2023-01-30,64015274
2023-01-31,65874459
2023-02-01,77663633
2023-02-02,118338980
2023-02-03,154357337
2023-02-06,69858306
2023-02-07,83322551
2023-02-08,64120079
2023-02-09,56007143
2023-02-10,57450708
2023-02-13,62199013
2023-02-14,61707573
2023-02-15,65669252
2023-02-16,68167942
2023-02-17,59144118
2023-02-21,58867230
2023-02-22,51011305
2023-02-23,48394249
2023-02-24,55469606
2023-02-27,44998470
2023-02-28,50546998
2023-03-01,55478991
2023-03-02,52279761
2023-03-03,70732297
2023-03-06,87558028
2023-03-07,56182028
2023-03-08,47204791
2023-03-09,53833582
2023-03-10,68572400
2023-03-13,84457122
2023-03-14,73695893
2023-03-15,77167866
2023-03-16,76254419
2023-03-17,98944633
2023-03-20,73641415
2023-03-21,73938285
2023-03-22,75701811
2023-03-23,67622060
2023-03-24,59256343
2023-03-27,52390266
2023-03-28,45992152
2023-03-29,51305691
2023-03-30,49501689
2023-03-31,68749792
2023-04-03,56976187
2023-04-04,46278295
2023-04-05,51511744
2023-04-06,45390123
2023-04-10,47716882
2023-04-11,47644217
2023-04-12,50133062
2023-04-13,68445649
2023-04-14,49386480
2023-04-17,41516217
2023-04-18,49923008
2023-04-19,47720166
2023-04-20,52456377
2023-04-21,58337341
2023-04-24,41949581
2023-04-25,48714063
2023-04-26,45498796
2023-04-27,64902329
2023-04-28,55275851
2023-05-01,52472936
2023-05-02,48425696
2023-05-03,65136018
2023-05-04,81235427
2023-05-05,113453171
2023-05-08,55962793
2023-05-09,45326874
2023-05-10,53724501
2023-05-11,49514676
2023-05-12,45533138
2023-05-15,37266659
2023-05-16,42110293
2023-05-17,57951604
2023-05-18,65496657
2023-05-19,55809475
2023-05-22,43570932
2023-05-23,50747263
2023-05-24,45143488
2023-05-25,56058258
