Date,Rate
2023-01-03,5.00
2023-01-04,4.75
2023-01-05,4.73
2023-01-06,5.03
2023-01-09,5.04
2023-01-10,4.97
2023-01-11,4.80
2023-01-12,4.89
2023-01-13,4.62
2023-01-17,4.72
2023-01-18,4.74
2023-01-19,4.91
2023-01-20,4.62
2023-01-23,4.97
2023-01-24,4.77
2023-01-25,4.73
2023-01-26,4.76
2023-01-27,4.83
2023-01-30,4.76
2023-01-31,4.58
2023-02-01,4.69
2023-02-02,4.77
2023-02-03,4.61
2023-02-06,4.59
2023-02-07,4.66
2023-02-08,4.33
2023-02-09,4.57
2023-02-10,4.65
2023-02-13,4.25
2023-02-14,4.35
2023-02-15,4.35
2023-02-16,4.50
2023-02-17,4.31
2023-02-21,4.45
2023-02-22,4.52
2023-02-23,4.15
2023-02-24,4.12
2023-02-27,4.35
2023-02-28,4.03
2023-03-01,4.05
2023-03-02,4.28
2023-03-03,4.24
2023-03-06,4.13
2023-03-07,3.93
2023-03-08,4.02
2023-03-09,4.29
2023-03-10,4.01
2023-03-13,4.23
2023-03-14,3.83
2023-03-15,3.87
2023-03-16,3.95
2023-03-17,3.78
2023-03-20,4.10
2023-03-21,3.90
2023-03-22,4.05
2023-03-23,3.95
2023-03-24,3.84
2023-03-27,3.88
2023-03-28,3.79
2023-03-29,3.80
2023-03-30,3.79
2023-03-31,3.82
2023-04-03,3.65
2023-04-04,3.64
2023-04-05,3.61
2023-04-06,3.79
2023-04-10,3.50
2023-04-11,3.68
2023-04-12,3.77
2023-04-13,3.72
2023-04-14,3.61
2023-04-17,3.51
2023-04-18,3.42
2023-04-19,3.57
2023-04-20,3.56
2023-04-21,3.34
2023-04-24,3.35
2023-04-25,3.44
2023-04-26,3.31
2023-04-27,3.29
2023-04-28,3.29
2023-05-01,3.48
2023-05-02,3.27
2023-05-03,3.23
2023-05-04,3.39
2023-05-05,3.20
2023-05-08,3.33
2023-05-09,3.38
2023-05-10,3.11
2023-05-11,3.29
2023-05-12,3.34
2023-05-15,3.06
2023-05-16,3.11
2023-05-17,3.26
2023-05-18,2.96
2023-05-19,3.22
2023-05-22,3.12
2023-05-23,2.92
2023-05-24,3.07
2023-05-25,3.00
