Date,Rate
2023-01-03,7.80
2023-01-04,7.64
2023-01-05,7.99
2023-01-06,7.94
2023-01-09,7.93
2023-01-10,7.58
2023-01-11,7.90
2023-01-12,7.69
2023-01-13,7.78
2023-01-17,7.74
2023-01-18,8.06
2023-01-19,7.87
2023-01-20,7.67
2023-01-23,7.72
2023-01-24,7.65
2023-01-25,7.69
2023-01-26,7.99
2023-01-27,7.70
2023-01-30,7.76
2023-01-31,7.84
2023-02-01,7.68
2023-02-02,8.13
2023-02-03,7.97
2023-02-06,7.85
2023-02-07,7.78
2023-02-08,7.84
2023-02-09,8.00
2023-02-10,7.98
2023-02-13,7.80
2023-02-14,8.04
2023-02-15,8.17
2023-02-16,7.94
2023-02-17,7.98
2023-02-21,7.88
2023-02-22,7.94
2023-02-23,7.86
2023-02-24,7.86
2023-02-27,8.25
2023-02-28,7.86
2023-03-01,8.29
2023-03-02,8.08
2023-03-03,7.90
2023-03-06,8.16
2023-03-07,8.02
2023-03-08,7.89
2023-03-09,8.18
2023-03-10,8.27
2023-03-13,7.90
2023-03-14,8.23
2023-03-15,8.21
2023-03-16,8.11
2023-03-17,8.24
2023-03-20,8.27
2023-03-21,7.99
2023-03-22,8.10
2023-03-23,7.98
2023-03-24,8.41
2023-03-27,8.15
2023-03-28,8.21
2023-03-29,8.26
2023-03-30,8.42
2023-03-31,8.37
2023-04-03,8.39
2023-04-04,8.26
2023-04-05,8.22
2023-04-06,8.34
2023-04-10,8.13
2023-04-11,8.11
2023-04-12,8.38
2023-04-13,8.08
2023-04-14,8.34
2023-04-17,8.46
2023-04-18,8.14
2023-04-19,8.50
2023-04-20,8.39
2023-04-21,8.15
2023-04-24,8.19
2023-04-25,8.30
2023-04-26,8.54
2023-04-27,8.24
2023-04-28,8.44
2023-05-01,8.59
2023-05-02,8.36
2023-05-03,8.33
2023-05-04,8.61
2023-05-05,8.24
2023-05-08,8.25
2023-05-09,8.25
2023-05-10,8.16
2023-05-11,8.45
2023-05-12,8.27
2023-05-15,8.23
2023-05-16,8.61
2023-05-17,8.55
2023-05-18,8.54
2023-05-19,8.53
2023-05-22,8.65
2023-05-23,8.34
2023-05-24,8.69
2023-05-25,8.50
