Date,Rate
2023-01-03,3.46
2023-01-04,3.42
2023-01-05,3.35
2023-01-06,3.39
2023-01-09,3.43
2023-01-10,3.41
2023-01-11,3.36
2023-01-12,3.37
2023-01-13,3.44
2023-01-17,3.45
2023-01-18,3.37
2023-01-19,3.43
2023-01-20,3.42
2023-01-23,3.49
2023-01-24,3.49
2023-01-25,3.38
2023-01-26,3.45
2023-01-27,3.48
2023-01-30,3.42
2023-01-31,3.52
2023-02-01,3.42
2023-02-02,3.42
2023-02-03,3.42
2023-02-06,3.45
2023-02-07,3.50
2023-02-08,3.42
2023-02-09,3.41
2023-02-10,3.49
2023-02-13,3.52
2023-02-14,3.55
2023-02-15,3.51
2023-02-16,3.47
2023-02-17,3.51
2023-02-21,3.47
2023-02-22,3.55
2023-02-23,3.48
2023-02-24,3.58
2023-02-27,3.56
2023-02-28,3.58
2023-03-01,3.50
2023-03-02,3.55
2023-03-03,3.47
2023-03-06,3.46
2023-03-07,3.55
2023-03-08,3.53
2023-03-09,3.54
2023-03-10,3.54
2023-03-13,3.61
2023-03-14,3.57
2023-03-15,3.52
2023-03-16,3.61
2023-03-17,3.57
2023-03-20,3.62
2023-03-21,3.52
2023-03-22,3.56
2023-03-23,3.53
2023-03-24,3.53
2023-03-27,3.62
2023-03-28,3.52
2023-03-29,3.55
2023-03-30,3.62
2023-03-31,3.57
2023-04-03,3.57
2023-04-04,3.56
2023-04-05,3.66
2023-04-06,3.63
2023-04-10,3.67
2023-04-11,3.62
2023-04-12,3.58
2023-04-13,3.67
2023-04-14,3.65
2023-04-17,3.63
2023-04-18,3.58
2023-04-19,3.60
2023-04-20,3.55
2023-04-21,3.62
2023-04-24,3.66
2023-04-25,3.67
2023-04-26,3.60
2023-04-27,3.68
2023-04-28,3.70
2023-05-01,3.59
2023-05-02,3.69
2023-05-03,3.67
2023-05-04,3.58
2023-05-05,3.61
2023-05-08,3.73
2023-05-09,3.71
2023-05-10,3.71
2023-05-11,3.72
2023-05-12,3.69
2023-05-15,3.75
2023-05-16,3.74
2023-05-17,3.68
2023-05-18,3.64
2023-05-19,3.64
2023-05-22,3.70
2023-05-23,3.76
2023-05-24,3.70
2023-05-25,3.65
